source_id,original_title,english_title,type,release_date,creator
f8742865-8892-42b8-8684-ce53514000e1,86―エイティシックス―,86,Anime,2021-4-11,A-1
333fb3fa-97d3-4ae8-b67d-942709a39511,86―エイティシックス― Part 2,86 Part 2,Anime,2021-10-3,A-1
9521b1f2-502c-41ab-9937-b92677f24acc,カッコウの許嫁,A Couple of Cuckoos,Anime,2022-4-24,"SynergySP, Shin-Ei Animation"
b2c8c1ec-fbdc-48b6-a25f-011bf101f1b6,薬屋のひとりごと,The Apothecary Diaries,Anime,2023-10-22,"OLM, TOHO animation STUDIO"
c4a9e936-5243-45a4-a227-17c09c588886,薬屋のひとりごと 第2期,The Apothecary Diaries Season 2,Anime,2025-1-10,"OLM, TOHO animation STUDIO"
a0dcc5f4-b479-449a-a835-3f3e46312635,ライザのアトリエ ~常闇の女王と秘密の隠れ家~ ,Atelier Ryza: Ever Darkness & the Secret Hideout The Animation,Anime,2023-7-2,LIDENFILMS
b67f66e3-2143-44c2-88c9-95a113b1d8bb,BEASTARS,BEASTARS,Anime,2019-10-10,Orange
f4ee2ae7-f9c5-472d-bf26-a343d9b9edde,BEASTARS 第2期,BEASTARS Season 2,Anime,2021-1-7,Orange
65c01621-bf87-4b61-80b2-695262ee769d,アオのハコ,Blue Box,Anime,2024-10-3, Telecom Animation Film
d943a892-f333-4181-b2e5-6dae17e708d6,ブルーロック,Blue Lock,Anime,2022-10-9,8bit
322daa8d-a319-4880-836d-07547020aa75,ぼっち・ざ・ろっく！ ,Bocchi the Rock!,Anime,2022-10-9,CloverWorks
5d1269d9-0f6a-45be-8336-8f1e8d122b02,青春ブタ野郎はバニーガール先輩の夢を見ない,Rascal Does Not Dream of Bunny Girl Senpai,Anime,2018-10-4, CloverWorks
0af34d4a-8b55-44ab-ab06-fd7dce84bd68,チェンソーマン,Chainsaw Man,Anime,2022-10-12,MAPPA
dc7fefce-e3d5-4c14-b128-a00013efaac3,劇場版 チェンソーマン レゼ篇,Chainsaw Man – The Movie: Reze Arc,Anime Movie,2025-9-19,MAPPA
a5a9261d-0dae-4751-a181-77b47e796ec4,CLANNAD,CLANNAD,Anime,2007-10-5,Kyoto Animation
e0747516-f476-43df-bde9-f56072b3280b,CLANNAD〜AFTER STORY〜,CLANNAD〜AFTER STORY〜,Anime,2008-10-3,Kyoto Animation
6abe3e7f-d95e-4dbc-8643-49279b6a05ac,Code Geass,Code Geass,Anime,2006-10-6,Sunrise
e2838d68-8049-4e28-9255-3f44907f2821,ダンダダン,Dandadan,Anime,2024-10-4,Science SARU
3dd00fd1-70fd-4c7a-a05e-1a2392be2eb7,ダンダダン 第2期 ,Dandadan Season 2,Anime,2025-7-4,Science SARU
ee4e1c60-b54c-4de4-a806-5fa409bb8001,鬼滅の刃 ,Demon Slayer: Kimetsu no Yaiba,Anime,2019-4-6,ufotable
64248084-60bc-4fcf-848c-f5b90068f6d2,鬼滅の刃 遊郭編 ,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,Anime,2021-12-5,ufotable
fab4fe6c-2823-4425-819b-0d80eda33834,Do It Yourself!! -どぅー・いっと・ゆあせるふ- ,Do It Yourself!!,Anime,2022-10-6, PINE JAM
2e8fc9bf-5553-49e9-80ca-df7cbee1cca5,小林さんちのメイドラゴン ,Miss Kobayashi's Dragon Maid,Anime,2017-1-12,Kyoto Animation
7bafd347-8c9e-4cf1-a0eb-cbbd3f0b0cbf,小林さんちのメイドラゴンS,Miss Kobayashi's Dragon Maid S,Anime,2021-7-8,Kyoto Animation
fc0e5bd1-6748-44c7-9639-f13a0f2a9adc,陰の実力者になりたくて！ ,The Eminence in Shadow,Anime,2022-10-5, Nexus
4ad13563-f827-45a5-8a42-e53c3b2ab518,エロマンガ先生,Eromanga Sensei,Anime,2017-4-9,A-1
32eaa43e-5500-436f-8bc2-c5255ad47f6a,打ち上げ花火、下から見るか？横から見るか？ ,Fireworks,Anime Movie,2017-8-18,Shaft
3bb89807-23f8-4756-94fb-d523e37f0d47,葬送のフリーレン,Frieren: Beyond Journey's End,Anime,2023-9-29, Madhouse
e72fc507-4f1c-4940-ac65-f7e9b7fa25fa,機動戦士ガンダム 水星の魔女,Mobile Suit Gundam: The Witch from Mercury,Anime,2022-10-2,Sunrise
8d099078-d490-4c0f-878e-b38395e206ad,機動戦士ガンダム 水星の魔女 第2期,Mobile Suit Gundam: The Witch from Mercury Season 2,Anime,2023-4-9,Sunrise
55deb8cc-3cf4-45a8-9d75-840c81ce3241,魔法少女にあこがれて ,Gushing over Magical Girls,Anime,2024-1-3,Asahi Production
f9c76dc6-3ba2-4da9-a138-9ee6ab3173a2,天国大魔境 ,Heavenly Delusion,Anime,2023-4-1, Production I.G
f6cbc990-9834-4f1a-a86f-ed33d72559b0,地獄楽 ,Hell's Paradise,Anime,2023-4-1,MAPPA
9a6b1015-bf87-41c8-9093-3a2e82c887a1,地獄楽 第2期,Hells' Paradise Season 2,Anime,2026-1-11,MAPPA
e32fe781-ef35-4c2d-9f59-49d78ce9ae3a,ホリミヤ ,Horimiya,Anime,2021-1-10,CloverWorks
455388b7-c4bc-489b-b77b-f0aa52a24b9e,私の推しは悪役令嬢。,I'm in Love with the Villainess,Anime,2023-10-3,Platinum Vision
ee416170-76b4-4c87-8f5a-6cfbb67a95f4,呪術廻戦,Jujutsu Kaisen,Anime,2020-10-3,MAPPA
47df2744-344a-449c-b4e1-fe299a0f74e8,劇場版 呪術廻戦 0 ,Jujutsu Kaisen 0,Anime Movie,2021-12-24,MAPPA
9fc33a2e-9d80-4c32-a1e5-f0ca4405b8f1,呪術廻戦 懐玉・玉折／渋谷事変,Jujutsu Kaisen Season 2,Anime,2023-7-6,MAPPA
25a4b879-3ed1-4b6a-a286-4136af659b3f,呪術廻戦 「死滅回游 前編」,Jujutsu Kaisen: The Culling Game Part 1,Anime,2026-1-9,MAPPA
0ad41a34-bd08-419f-80f6-5d0933744a6e,神無き世界のカミサマ活動 ,Kamikatsu: Working for God in a Godless World,Anime,2023-4-6,Studio Palette
7d265107-6398-4f92-b073-d423208450ea,古見さんは、コミュ症です。,Komi Can't Communicate,Anime,2021-10-7,OLM
79a30efc-ec99-477c-8255-679eaf6d1b44,宝石の国 ,Land of the Lustrous,Anime,2017-10-7,Orange
949f4993-3b08-4690-bd2a-805cd4b09df0,Lv2からチートだった元勇者候補のまったり異世界ライフ ,Chillin' in Another World with Level 2 Super Cheat Powers,Anime,2024-4-8,J.C.Staff
442559bf-ca77-4d8e-8102-51a05b0ba6cd,リコリス・リコイル ,Lycoris Recoil,Anime,2022-7-2,A-1
b6af460f-f38f-474a-a431-c073cd65d05d,魔法少女まどか★マギカ ,Puella Magi Madoka Magica,Anime,2011-01-07,Shaft
bb64b16d-db03-41ae-b545-34d134424292,負けヒロインが多すぎる！ ,Makeine: Too Many Losing Heroines!,Anime,2024-7-14,A-1
4bc563ce-5594-4776-b6f1-7f50ba1ed983,メダリスト,Medalist,Anime,2025-1-5,ENGI
d2104961-3568-4a9c-91b8-26181a85766f,無職転生 ～異世界行ったら本気だす～ ,Mushoku Tensei: Jobless Reincarnation,Anime,2021-1-11,Studio Bind
f56a129f-ce8e-4e6a-9c8a-fb50e2b333a2,無職転生 ～異世界行ったら本気だす～ 第2クール ,Mushoku Tensei: Jobless Reincarnation Part 2,Anime,2021-10-4,Studio Bind
b422663e-3b0e-4f01-893a-4770d517e04a,無職転生 II ～異世界行ったら本気だす～ ,Mushoku Tensei: Jobless Reincarnation Season 2,Anime,2023-7-10,Studio Bind
55a894eb-b72f-421b-809d-19a134ff54d3,無職転生 II ～異世界行ったら本気だす～ (第2クール) ,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,Anime,2024-4-8,Studio Bind
0378ec07-be82-4a5b-99c9-627d84b5c10d,僕のヒーローアカデミア ,My Hero Academia,Anime,2016-4-3,Bones
030742f8-2408-4607-b7bb-e2440a3749bb,化物語 ,Bakemonogatari,Anime,2009-7-3,Shaft
254570e3-4397-4293-a2a1-e99e29a10f98,その着せ替え人形は恋をする,My Dress-Up Darling,Anime,2022-1-9,CloverWorks
e55ab6ea-03b5-4f09-b6ee-191604907813,その着せ替え人形は恋をする Season 2 ,My Dress-Up Darling Season 2,Anime,2025-7-6,CloverWorks
a7dc09b3-6652-4965-a29d-a26eeb8af784,日常 ,Nichijou - My Ordinary Life,Anime,2011-4-3, Kyoto Animation
ed80d013-c8d8-48e5-9de8-1c409ace8e9f,ノーゲーム・ノーライフ ,"No Game, No Life",Anime,2014-4-9,Madhouse
422eb314-c7ec-4fc4-a341-c6ea1b92e824,ノラガミ ARAGOTO ,Noragami Aragoto,Anime,2015-10-3,Bones
a9487ab4-b15e-49e7-bcdf-0094b927635f,お兄ちゃんはおしまい！,Onimai: I'm Now Your Sister!,Anime,2023-1-5,Studio Bind
ffea4c70-8e1f-4d3e-8285-7efeb86af8c4,やはり俺の青春ラブコメはまちがっている。 ,My Teen Romantic Comedy SNAFU,Anime,2013-4-5,Brain's Base
860e78e1-6067-4350-b2c3-e4e294571925,やはり俺の青春ラブコメはまちがっている。続 ,My Teen Romantic Comedy SNAFU TOO!,Anime,2015-4-3,feel.
6d8c7e2f-4b94-47c4-ba1c-dcaae4c671f6,【推しの子】,Oshi No Ko,Anime,2023-4-12, Doga Kobo
1b687fc5-1b6b-4cdf-a650-51312f260c5c,【推しの子】第2期,Oshi No Ko Season 2,Anime,2024-7-3, Doga Kobo
b70ec592-4bf4-4047-bbcf-7f605d399c3c,【推しの子】 第3期,Oshi No Ko Season 3,Anime,2026-1-14, Doga Kobo
53de75e5-cc70-4a4f-b213-7144bb4a0e81,さくら荘のペットな彼女 ,The Pet Girl of Sakurasou,Anime,2012-10-9, J.C.Staff
0ae11a76-3f55-48a2-80dc-7d8da0858074,もののけ姫 ,Princess Mononoke,Anime,1997-7-12,Studio Ghibli
4af84077-37a5-4348-a3d1-75049127c376,五等分の花嫁 ,The Quintessential Quintuplets,Anime,2019-1-11,Tezuka Productions
d386897e-2ffd-4ff2-9cb1-9eb405065857,五等分の花嫁∬ ,The Quintessential Quintuplets 2,Anime,2021-1-8,Bibury Animation Studios
a2f8fbfd-8e9f-4c9f-a85b-d029f8adfed2,Re:ゼロから始める異世界生活,Re:ZERO -Starting Life in Another World-,Anime,2016-4-4,White Fox
97b9f041-00f8-46b7-ad2a-8e2fcab666ac,Re:ゼロから始める異世界生活 2 ,Re:ZERO -Starting Life in Another World- Season 2,Anime,2020-7-8,White Fox
fa82387f-3b6d-458d-91b7-0d52853ccc27,Re:ゼロから始める異世界生活 2 part 2 ,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Anime,2021-1-6,White Fox
15e808c0-a5e5-4009-873f-c0d76b0c878d,Re:ゼロから始める異世界生活 3rd season ,Re:ZERO -Starting Life in Another World- Season 3,Anime,2024-10-2,White Fox
eafdf801-36ee-4b45-8b75-f33449394c96,転生したらスライムだった件 ,That Time I Got Reincarnated as a Slime,Anime,2018-10-2,8bit
bf5b7e79-38cd-4639-b2c0-27a8c81fb586,転生したらスライムだった件 Season 2,That Time I Got Reincarnated as a Slime Season 2,Anime,2021-1-12,8bit
85e926eb-87ca-4639-a1c1-4e27b363f084,転生したらスライムだった件 Season 2 part 2,That Time I Got Reincarnated as a Slime Season 2 Part 2,Anime,2021-7-6,8bit
c2640cc5-e141-48f9-8127-e01e3f27f092,彼女、お借りします ,Rent-a-Girlfriend,Anime,2020-7-11,TMS Entertainment
9901daee-9f6e-47c4-994c-9e66102a44ec,少女☆歌劇 レヴュースタァライト ,Revue Starlight,Anime,2018-7-13,Kinema Citrus
2d560e92-ad92-45af-8af9-b72d26599a61,ソードアート・オンライン ,Sword Art Online,Anime,2012-7-8,A-1
af2e45ed-8e44-4a1b-a420-04bd8256a89a,スキップとローファー ,Skip and Loafer,Anime,2023-4-4,P.A. Works
b31077ae-85d1-4419-a8a3-a1ac1f86c725,魔王城でおやすみ ,Sleepy Princess in the Demon Castle,Anime,2020-10-6,Doga Kobo
ef626c65-4b2f-4d03-b431-4a914c0d645c,SPY×FAMILY ,SPY×FAMILY ,Anime,2022-4-9,"Wit Studio, CloverWorks"
9edd4017-6299-4f97-8c1b-7c92452242b7,SPY×FAMILY Part 2,SPY×FAMILY Part 2,Anime,2022-10-1,"Wit Studio, CloverWorks"
4e4bd497-1156-44a0-a2d8-a69a557d037f,SPY×FAMILY Season 2 ,SPY×FAMILY Season 2 ,Anime,2023-10-7,"Wit Studio, CloverWorks"
